stock,open,low,high,close
stockD,49382.22,28081.11,50494.59,42566.04
stockG,43350.55,32990.48,53085.94,51789.63
stockJ,40807.91,34013.20,47015.87,35282.46
stockJ,39318.91,39100.83,43385.78,40329.02
stockP,30884.79,30575.20,32470.18,31091.38
stockJ,28651.28,20220.35,35661.88,22285.61
stockZ,50375.15,36234.29,58821.60,53421.27
stockE,44674.64,25604.29,45636.91,34462.56
stockG,29817.46,29327.22,30538.13,29800.02
stockN,23120.95,10515.06,33293.28,19615.57
stockY,31876.06,26184.00,52874.30,38695.49
stockK,34861.64,20912.49,39321.78,30011.17
stockB,38086.87,34838.32,40604.08,39960.07
stockD,47623.39,45866.15,49347.49,46105.88
stockS,44308.39,20032.75,47151.26,21957.29
stockM,42566.63,41701.48,44533.21,44401.81
stockW,49736.69,48715.01,49871.76,48764.01
stockV,44235.76,42363.33,49728.84,46588.60
stockB,27407.64,12522.86,36711.05,24002.87
stockU,37930.77,33212.15,46422.87,41189.11
stockA,28070.34,14204.61,33689.01,30733.05
stockE,22513.38,15035.03,53359.95,18270.80
stockV,31219.67,21168.09,41985.69,34733.68
stockE,32144.13,31928.09,46414.84,42343.27
stockY,42593.71,32713.60,47918.51,47272.16
stockC,42434.11,25203.20,51539.91,40407.13
stockO,36567.57,34721.19,42208.00,35723.00
stockM,40848.59,22434.52,49754.66,25259.59
stockK,46264.45,34770.09,54012.61,38044.88
stockL,54558.66,50003.52,55220.89,50371.30
stockZ,26841.57,24587.10,35975.90,29168.66
stockZ,51440.08,22254.23,58258.86,53222.72
stockF,42950.56,42709.07,43399.51,43139.08
stockK,37355.32,35587.96,53578.72,47380.30
stockX,43104.75,37301.75,63701.85,48702.85
stockR,32228.91,32228.17,32251.46,32232.79
stockI,60309.32,59708.27,60537.94,60471.70
stockE,45140.59,41346.78,45682.62,43449.05
stockW,47358.96,42995.49,53099.02,52173.13
stockS,22411.01,2831.63,43380.25,28581.17
stockJ,32223.62,27888.54,33479.20,31419.49
stockF,47469.15,42863.73,48185.43,47424.79
stockF,35979.18,28928.74,38341.49,36311.32
stockL,39178.11,30418.19,41188.17,33238.41
stockZ,45063.07,40704.56,47517.26,42140.37
stockU,55239.83,46616.02,62156.53,55738.18
stockZ,46516.51,39260.77,53154.24,50475.19
stockU,37578.38,33967.85,37786.03,36624.11
stockJ,39306.99,33540.98,51274.91,41733.86
stockB,45527.68,30256.84,49250.06,31323.22
stockB,26823.91,23137.56,31231.87,31093.53
stockF,43315.71,37374.32,43932.07,41795.83
stockT,24416.05,24165.12,44914.62,26316.36
stockG,43346.66,36926.35,46678.21,37398.31
stockL,45763.45,41910.02,47852.08,45535.98
stockZ,40429.61,35310.77,47405.58,39085.94
stockZ,39818.03,24651.12,40814.84,37613.43
stockJ,37825.55,33510.17,40732.04,40720.99
stockL,31696.37,28329.31,34972.61,32215.87
stockY,35005.70,26102.07,39490.77,34561.00
stockT,30962.07,26461.56,41639.71,27267.37
stockY,40345.03,31426.14,40705.89,39246.03
stockU,27919.42,27705.89,43701.56,40770.28
stockI,25262.21,22544.07,28326.66,25326.54
stockS,23762.40,19833.91,45612.26,22071.90
stockB,33687.22,29529.24,50704.63,37758.64
stockU,37601.56,30796.81,49949.37,47533.78
stockT,33363.66,31457.25,38736.97,35579.07
stockK,35808.74,35529.47,37830.22,37466.12
stockF,35237.12,19291.18,36272.62,20342.48
stockE,46607.69,25202.44,58071.89,32961.47
stockF,38698.20,28853.51,43155.40,35256.25
stockB,43057.12,28806.01,46708.29,39317.78
stockW,50137.16,40849.38,52030.97,42818.53
stockW,30478.96,25619.87,32267.32,29353.03
stockI,52164.65,33588.91,53482.97,43277.40
stockY,41769.02,28883.55,48504.53,39480.01
stockD,43612.20,43300.09,43654.61,43495.30
stockH,23296.92,21967.80,39445.22,26593.89
stockD,35126.20,32774.21,40077.55,39047.71
stockJ,45371.61,34548.84,46090.84,45531.86
stockU,35235.61,30918.46,41393.99,39127.49
stockE,45218.13,45131.25,45812.67,45612.36
stockO,40258.70,39431.90,40816.64,40245.93
stockU,20854.95,17414.28,27495.72,19495.33
stockN,29605.25,27547.98,33352.84,32416.16
stockH,30143.59,29892.73,44252.31,34095.34
stockA,29085.48,19150.79,40079.00,28662.42
stockQ,39690.10,32821.02,63659.45,48970.55
stockG,47699.99,46494.73,56192.61,50036.02
stockM,46086.84,43759.00,46785.33,43842.09
stockF,34220.67,20164.75,36685.65,33980.50
stockJ,30640.46,14306.36,36426.67,27556.94
stockM,39054.42,38405.52,39204.02,39190.16
stockM,47556.83,24788.04,49090.38,44889.51
stockA,34063.93,31793.74,49290.11,36520.64
stockG,42473.84,37573.65,44495.91,43682.32
stockL,23298.55,20453.49,55472.37,45097.85
stockR,37114.67,25734.63,46934.57,35994.43
stockE,46367.54,44405.88,49846.05,48473.48
stockU,48842.78,45600.39,52827.89,52146.64
stockM,40521.35,31750.91,45987.62,32353.47
stockG,47208.64,36756.23,48239.63,41481.28
stockX,31075.75,20852.99,36247.71,25286.82
stockC,27017.94,19532.00,35146.27,24327.58
stockI,33069.70,31404.54,33408.14,33285.26
stockO,44845.39,37604.27,55101.61,54582.30
stockY,43551.91,43040.75,45774.41,45257.49
stockH,38470.15,36450.41,44025.83,41363.67
stockJ,32045.33,27181.38,37673.20,37525.11
stockA,45256.21,44592.91,46069.97,44685.60
stockM,44546.65,42929.95,48080.23,43804.34
stockR,50458.67,37586.04,51831.28,44016.83
stockP,36043.19,32283.57,40653.46,39043.41
stockO,46739.11,42033.30,50549.08,47965.42
stockY,52310.51,51342.70,59879.17,56472.63
stockJ,56030.77,47681.37,59328.97,51940.92
stockN,25353.30,15071.80,30376.44,26583.81
stockL,41651.56,34220.52,45904.36,34459.72
stockE,35681.32,15324.68,41597.84,40978.05
stockC,40881.41,40242.05,44966.05,41711.83
stockD,47752.09,45863.29,56839.80,53523.68
stockT,50303.02,42004.05,51191.15,42706.99
stockG,34101.26,30434.89,34626.80,34568.79
stockJ,33516.93,17188.88,69912.33,50848.65
stockE,35365.90,27634.45,37776.71,33989.21
stockI,18964.17,18601.53,19019.78,18790.57
stockK,45369.57,44932.11,50352.82,47274.31
stockX,25763.76,20779.65,36516.21,22062.73
stockR,34254.13,33612.14,38548.65,37343.78
stockX,50537.59,50530.06,50846.52,50766.07
stockW,39419.40,37537.48,40696.31,38336.27
stockH,49074.56,38684.71,54817.26,47480.72
stockE,30200.08,29941.03,32202.77,31707.11
stockV,23299.17,13299.31,25742.78,16159.98
stockQ,27506.06,22294.31,27535.11,25302.80
stockQ,47285.66,45772.97,48343.71,46636.82
stockH,44171.77,43204.22,66099.71,55756.18
stockN,39039.47,38813.13,40108.68,39006.17
stockX,41600.38,39385.97,41804.10,40435.63
stockK,57917.88,43308.12,58388.47,54239.40
stockV,46637.08,45899.05,47394.89,47101.89
stockT,46261.95,21207.79,47858.57,39364.12
stockJ,24591.03,23425.82,28343.71,25760.03
stockU,60167.63,36750.52,62407.07,48035.25
stockF,46790.36,39419.71,55956.26,51927.95
stockO,48386.52,45068.98,50547.70,46488.57
stockQ,53869.99,39026.51,58177.12,47700.55
stockW,42463.10,37252.38,48287.55,41509.00
stockL,22014.16,14509.39,29528.17,24167.09
stockO,56073.00,42125.07,56751.52,50681.76
stockP,28760.35,28603.39,42854.47,32534.61
stockN,27983.56,27058.87,34657.81,28870.32
stockJ,29536.44,28423.64,30095.68,28898.38
stockZ,43448.00,27370.56,44355.05,43260.59
stockH,36957.54,36855.46,49552.48,37764.24
stockC,46549.33,27879.84,47218.98,36372.43
stockY,34395.53,28709.11,46632.79,40286.64
stockF,37181.77,33605.32,50684.48,35580.34
stockQ,40228.65,31041.42,43709.06,31866.42
stockC,39221.51,36740.29,41278.38,40612.76
stockB,37321.65,27575.83,42780.57,33414.74
stockD,39133.45,33132.10,42344.38,34028.67
stockH,29477.95,19669.20,31645.49,31094.10
stockZ,48721.94,41506.45,59358.17,45507.20
stockE,41197.51,38877.21,45615.22,40688.12
stockO,21210.72,18410.56,33541.34,25302.71
stockL,26950.10,26940.51,26960.72,26944.66
stockE,32052.20,28921.18,32137.39,31261.85
stockZ,37771.19,36655.60,52184.15,50531.19
stockL,34197.48,33218.43,37246.46,36923.53
stockF,37279.49,15440.75,39279.58,28835.03
stockX,45361.18,44731.14,49082.15,46453.90
stockS,43342.62,23818.44,47908.36,45388.35
stockU,38061.96,25548.14,57392.26,36328.65
stockL,24506.31,23347.92,49875.92,40852.31
stockH,29096.37,7465.56,42996.82,10640.41
stockJ,34242.01,28328.59,45591.27,31226.99
stockK,29872.49,23455.33,38945.28,37427.15
stockE,37702.34,34310.33,45942.83,42523.50
stockB,19311.19,19045.29,19510.11,19088.46
stockQ,16708.91,10824.16,49546.73,41576.44
stockH,40862.32,40181.40,46676.92,42857.80
stockF,32699.95,21900.21,37277.59,36387.03
stockX,44487.19,41273.77,45751.21,42321.20
stockC,38770.29,37552.60,40576.18,40079.57
stockE,41543.60,39209.00,42420.25,42230.79
stockJ,35610.63,27219.44,50226.02,44275.99
stockI,17410.51,16622.30,27438.24,26234.71
stockI,41420.64,31903.00,51152.33,35492.06
stockB,41722.77,38159.81,55928.19,40086.06
stockM,35262.21,31269.74,49250.70,43994.15
stockG,51199.88,38704.17,52738.62,47092.39
stockN,19059.40,17038.51,54382.31,47641.61
stockU,28975.12,17637.70,31404.12,29604.42
stockB,35822.38,35211.43,38692.26,37597.24
stockI,46319.25,26699.99,49743.04,47062.94
stockC,31664.00,29577.60,35495.11,32426.23
stockX,40435.48,23165.49,48324.76,24158.70
stockH,34765.59,30907.06,36169.03,33011.67
stockR,24074.46,14201.02,42705.71,25970.99
stockA,36033.47,34453.55,41665.00,36699.98
stockA,38082.98,16200.43,47174.80,31290.42
stockQ,34484.56,17426.15,44049.33,43727.59
stockU,38552.37,37447.93,39569.70,39004.40
stockP,34616.53,34531.90,34949.71,34753.02
stockW,44703.39,37733.76,55574.58,47667.50
stockT,55385.58,36472.20,59499.49,51659.23
stockN,50560.36,50460.41,50597.50,50463.88
stockK,39892.17,39214.60,48714.54,43850.28
stockX,27432.93,25345.88,30067.39,25957.28
stockT,32157.08,28783.85,35662.28,30565.35
stockQ,43069.40,24893.91,44321.89,30095.84
stockA,31381.28,27740.08,37696.52,36893.66
stockB,45933.44,43254.75,52120.38,44035.37
stockU,50901.58,48885.55,59055.48,56101.24
stockN,48020.08,44662.30,49092.53,46118.98
stockA,43087.00,36406.53,44465.61,36899.34
stockE,44256.64,35614.22,45397.37,37442.86
stockQ,45136.56,12498.48,46804.35,29805.96
stockJ,41733.86,36230.35,55059.27,52637.38
stockF,45964.00,43315.58,52575.43,50311.05
stockD,43367.99,42506.71,47268.18,46740.42
stockN,33608.86,22277.18,42535.83,34607.26
stockK,25981.41,17335.24,54575.27,23370.60
stockV,33376.52,31103.16,34132.79,33180.45
stockM,52093.33,38352.30,56971.65,52380.15
stockL,37346.10,26179.32,41254.25,32601.69
stockU,25156.35,21368.99,31854.60,26173.72
stockY,33182.89,31773.44,33560.29,32369.79
stockG,19082.17,15417.56,20235.09,17475.47
stockL,29153.21,28769.11,45279.09,32521.29
stockO,50076.98,46236.73,54400.01,53477.69
stockG,21109.81,7749.72,30648.99,7858.19
stockP,35288.96,33833.77,48146.59,45808.47
stockB,41293.92,27686.23,58178.31,46318.42
stockS,36968.19,32144.85,50397.16,49697.74
stockZ,55227.10,37189.04,57222.16,55439.59
stockJ,42737.67,41842.86,44056.55,41877.76
stockN,48205.77,17505.37,49452.25,26904.64
stockQ,36226.70,35894.71,39515.68,38327.53
stockB,49442.08,42955.31,51909.04,46512.79
stockT,31739.59,30426.97,34362.91,34318.58
stockO,41602.67,41352.35,43123.93,43107.03
stockP,35761.64,29433.03,40212.47,30737.86
stockV,27243.40,23504.66,29424.18,25806.30
stockP,34182.21,31659.02,34387.48,32028.19
stockK,34628.07,30526.21,35422.47,34477.34
stockC,36738.78,24138.93,46982.10,38578.34
stockL,44532.51,30477.40,50906.56,42540.57
stockU,17630.34,16531.52,29369.42,23664.71
stockY,41735.82,22705.74,67837.21,60539.63
stockS,20187.78,15232.45,28925.71,18494.25
stockE,36804.03,36348.02,40645.07,39288.02
stockS,34699.08,30902.93,39141.59,36445.07
stockQ,45188.51,44482.35,45516.19,44600.77
stockE,34212.94,33507.19,34842.73,34380.92
stockW,34849.24,32958.61,46821.33,39510.44
stockT,39264.77,29012.64,58468.84,35965.38
stockT,22801.04,22381.03,23030.94,22514.79
stockG,48577.87,47084.88,57899.19,55132.04
stockY,41420.03,37285.67,47460.90,44219.86
stockN,38058.22,33333.71,45207.01,40521.01
stockV,53101.75,45982.11,53497.39,51633.52
stockO,33669.91,31997.11,43739.31,34359.70
stockN,23899.78,23868.30,41819.46,37679.89
stockY,47043.63,43411.05,53989.99,53267.97
stockO,33733.00,32309.84,41175.48,38055.80
stockS,21198.65,19827.65,35669.54,21509.20
stockS,27479.26,26092.88,51739.06,47792.76
stockL,40332.82,38282.20,41131.04,40803.12
stockP,30263.09,30114.78,30555.32,30151.76
stockC,51542.46,39047.64,56187.02,44706.46
stockQ,35543.05,28853.35,63877.05,44677.10
stockQ,35454.28,35453.41,35454.65,35453.67
stockZ,38915.67,37867.77,47376.48,45191.07
stockN,36417.92,35458.61,52635.35,48093.91
stockF,30878.02,30861.73,30893.51,30863.21
stockA,41689.46,37086.42,51164.49,42325.93
stockA,23952.80,21283.75,27655.69,26081.35
stockD,33419.77,32917.58,46068.86,44685.45
stockN,33274.24,32715.63,37381.84,33022.69
stockR,14922.01,14562.70,18466.60,17482.00
stockJ,33735.10,23073.23,37478.37,28921.23
stockT,44830.42,35384.43,45226.77,43498.10
stockK,34367.18,24493.93,55084.74,25819.78
stockL,38518.58,36046.87,40722.93,39842.70
stockJ,30691.88,28081.25,37384.51,29749.02
stockN,45230.90,41348.43,56397.63,56226.64
stockH,40297.52,37933.14,42575.09,41512.48
stockF,34543.99,29990.22,36923.82,32910.83
stockO,23486.99,21908.43,25066.00,23202.48
stockT,38522.58,37497.31,38702.62,37569.63
stockT,35154.35,32385.58,45017.04,39812.52
stockY,33761.95,30764.01,41680.08,37525.09
stockQ,36805.77,36766.19,36832.37,36798.29
stockD,39796.67,37360.72,46644.26,44081.67
stockF,49614.31,47751.16,52372.06,48571.64
stockK,41887.21,41812.26,55601.07,43303.34
stockL,52908.08,43262.84,64422.40,56870.51
stockQ,32726.07,29349.08,33617.40,33507.28
stockK,31419.21,29597.82,43790.83,31136.76
stockV,37930.23,29518.38,38632.26,32743.38
stockT,37628.56,32303.68,41671.99,36999.77
stockK,42401.22,32571.23,44983.66,39765.55
stockK,61210.29,59472.09,63919.48,63347.23
stockV,50127.03,47110.71,54272.28,49581.87
stockG,27912.04,13405.09,38920.45,37282.61
stockX,51787.23,31323.42,52154.57,38213.97
stockH,28047.81,27254.54,28477.55,27293.66
stockQ,42490.32,40027.60,48995.26,48758.92
stockU,41828.55,35398.40,54383.59,46352.11
stockO,49354.47,48683.73,51625.48,48936.68
stockX,37593.96,33350.58,38068.84,34354.01
stockM,26225.78,24668.74,42581.44,39790.08
stockI,32790.47,26571.83,39344.29,31122.60
stockO,53354.78,47539.67,54637.48,49017.13
stockD,51855.31,45033.26,56366.23,45342.69
stockZ,36202.16,29457.29,47020.35,37453.26
stockU,53536.65,51465.87,55141.32,54215.83
stockE,30674.73,29874.54,33346.50,31368.13
stockZ,42632.79,41811.34,43597.02,43364.91
stockQ,38903.42,22457.11,51949.06,26406.39
stockO,41036.86,35012.18,52753.02,39263.28
stockP,27601.64,27135.12,34548.65,30761.92
stockW,43637.71,36941.45,46316.76,40307.72
stockX,42559.81,35781.03,46541.57,43884.35
stockI,33166.56,31417.20,33643.09,33058.77
stockL,44997.12,43699.09,48743.28,44611.63
stockV,43430.28,20929.22,60330.91,41979.44
stockQ,35358.93,32571.04,36936.18,35786.90
stockK,28102.36,20564.54,30779.18,30202.60
stockF,39506.72,24241.62,44576.61,28526.15
stockF,29649.97,21100.56,52256.52,51958.44
stockL,36931.41,35849.80,37911.76,35884.22
stockX,45936.00,45703.40,46131.05,45921.83
stockX,37352.77,31415.76,42893.96,36580.21
stockM,47161.35,27488.92,60785.39,43736.94
stockL,30699.01,30467.45,39585.98,33646.38
stockN,34510.48,32885.94,34826.49,33310.76
stockW,33825.85,33518.31,33840.75,33731.61
stockU,37994.38,18879.30,40540.24,32283.69
stockG,33161.23,25816.51,42231.65,33505.70
stockA,20331.77,10744.50,56036.18,40898.69
stockO,54530.68,52786.07,59201.35,57469.73
stockI,28400.33,25987.27,30299.87,26340.16
stockF,54147.06,37673.80,55628.67,52521.52
stockT,41559.38,37946.67,44228.55,42530.83
stockN,34321.19,27021.79,38145.88,29533.18
stockV,21018.88,18215.12,25383.38,24372.81
stockH,31353.77,28619.07,49923.26,29007.99
stockG,34581.43,23041.05,47047.28,45749.29
stockE,29127.28,28748.23,34769.10,31893.79
stockI,25577.54,17746.92,33544.17,27106.75
stockV,37642.20,29503.24,42278.94,34794.81
stockX,41719.85,41346.88,61252.73,47085.13
stockC,28541.80,28377.38,28805.37,28473.48
stockP,37562.19,36478.08,40419.91,36934.09
stockJ,45250.09,43591.66,53628.00,53032.71
stockP,40165.66,36162.55,62156.62,61494.16
stockC,48144.49,30056.76,53817.63,47403.76
stockU,48404.93,28932.00,50825.05,36614.90
stockR,40434.15,39419.05,44387.25,40835.34
stockF,36431.68,26798.08,52888.28,29330.16
stockU,40326.33,39079.39,45141.36,42601.03
stockG,53246.88,47844.01,55102.03,50294.21
stockT,36122.23,33999.60,40556.15,35205.05
stockW,41326.51,37000.98,44231.46,41703.62
stockN,32429.11,26838.29,34390.12,29848.42
stockB,24084.05,22102.54,25605.95,23704.98
stockT,36801.17,31565.07,37804.69,35220.73
stockD,27110.05,19706.60,27619.49,25825.38
stockV,15124.67,8017.14,23861.96,10562.23
stockH,29919.53,29685.78,37357.86,32584.16
stockP,41134.49,38421.89,48009.31,45161.37
stockJ,25770.45,23711.31,33029.62,30424.81
stockX,26822.29,12815.89,35541.12,12984.78
stockT,36084.77,31345.90,36638.74,32277.80
stockX,45865.12,36942.56,54924.93,48415.56
stockE,35362.70,30808.64,55993.91,54459.22
stockS,44256.06,39481.82,56864.26,46062.28
stockJ,47686.09,34722.55,49569.24,43031.66
stockS,33506.07,33096.27,33841.85,33541.69
stockJ,41536.17,36216.25,41828.46,40729.94
stockT,38472.36,36968.75,42765.20,39042.03
stockK,30290.36,29389.01,31299.86,30026.46
stockM,38053.78,35790.86,43889.99,38320.99
stockH,44324.49,44094.58,45097.64,44395.45
stockD,39765.72,39506.92,39821.94,39807.09
stockQ,24827.81,22963.76,30246.13,29992.24
stockE,30104.68,28762.89,30586.26,29858.80
stockA,52059.85,24397.27,55135.05,37179.84
stockJ,38358.90,30333.05,43418.92,36801.46
stockH,31184.29,23516.78,31683.10,24243.26
stockD,36207.11,33723.06,43201.36,34919.97
stockG,29065.58,21967.60,36410.20,28866.79
stockI,54541.03,50634.21,55145.20,51509.43
stockF,38299.24,38128.22,40289.08,39035.84
stockJ,35727.54,34942.26,39793.56,36888.13
stockB,52473.07,46412.70,60986.69,49992.88
stockK,61806.80,48980.14,62568.66,54118.74
stockF,66963.94,66632.72,66994.59,66768.41
stockR,40173.04,34465.30,49761.04,48038.54
stockG,40632.54,36368.04,44638.08,40080.01
stockP,32978.27,31899.95,39830.60,38266.67
stockZ,46184.99,39358.35,47985.43,40174.93
stockH,46115.40,38971.94,46340.43,45959.67
stockZ,45450.75,37758.50,46182.80,41403.08
stockN,51159.83,24352.01,53174.60,36927.29
stockE,48311.82,45841.88,50940.29,50434.38
stockT,20405.97,14189.72,38467.96,33741.87
stockI,26196.44,25816.32,26373.86,25947.90
stockA,37317.75,35591.33,37868.75,36070.89
stockB,37432.05,36023.31,38906.34,36618.19
stockX,33071.90,30067.28,36396.44,36121.48
stockV,53205.22,32817.13,53374.20,41012.53
stockU,48240.23,47790.48,53648.97,49463.14
stockN,39045.02,33295.29,41349.24,37984.88
stockF,31119.91,20096.20,38939.43,29969.78
stockF,41944.54,35924.69,45743.54,39346.64
stockK,39786.20,39229.51,41960.66,41322.11
stockL,34337.79,24135.10,34474.70,28655.64
stockV,43944.14,43030.05,46870.54,44685.29
stockE,47564.60,37958.35,47827.93,44782.61
stockP,44727.98,22779.25,53641.58,37911.89
stockE,46853.49,42601.92,51813.25,46925.48
stockP,47609.99,35854.75,61769.84,48182.71
stockJ,54394.07,48630.25,59675.53,52317.90
stockI,35828.69,32518.00,41244.36,40512.82
stockE,42667.75,36134.55,46336.74,44309.73
stockI,29431.29,29293.88,29578.22,29421.76
stockA,34308.20,25488.61,38792.14,36247.00
stockT,36256.66,35881.20,75388.88,55326.67
stockV,42555.32,40963.11,42563.12,41252.69
stockL,44064.17,28568.79,50033.55,45614.44
stockO,25628.57,24781.86,27531.52,25348.21
stockY,49638.14,42071.42,50379.79,42592.98
stockC,44033.64,35266.28,44596.72,36700.15
stockX,32310.86,19987.33,61223.69,36082.28
stockL,15946.50,15303.25,43008.04,27545.40
stockG,51179.68,50186.56,51447.20,51192.05
stockE,45446.23,45230.51,46583.20,45947.58
stockX,28858.33,23637.58,44059.81,32138.35
stockL,38255.02,36160.60,38266.51,37621.71
stockI,40569.18,38887.13,44846.49,44233.45
stockO,31650.16,20847.18,57527.17,38722.59
stockQ,36054.74,22384.68,52951.80,29192.25
stockX,59514.05,46651.10,69026.21,54673.75
stockB,29788.72,29263.45,30302.46,29446.97
stockE,43462.15,43417.18,47153.79,45855.87
stockQ,46385.09,40962.68,52029.15,42325.46
stockG,37802.15,35619.04,38140.72,36070.51
stockY,28863.05,25683.80,38877.35,34159.54
stockV,49142.46,48729.48,58918.99,50735.16
stockO,42348.99,42315.57,42550.85,42447.31
stockY,28964.75,28585.13,29008.38,28632.62
stockH,27755.59,20868.71,37232.65,35333.50
stockR,34622.35,32714.34,35678.57,34152.73
stockT,42598.46,33982.51,46089.91,34387.24
stockJ,24819.87,19517.46,28503.07,19917.24
stockK,33095.73,14887.30,42728.39,25386.77
stockT,47589.38,39739.70,50703.61,43847.22
stockT,42673.85,38958.64,43310.78,41282.48
stockP,25343.86,22912.48,28541.90,28201.92
stockL,29318.40,25898.16,29941.03,29053.80
stockF,25780.93,16982.25,30579.18,25486.97
stockJ,43669.75,41131.26,47220.24,45987.29
stockX,44857.66,44263.97,50793.99,46939.45
stockL,36918.45,34257.99,42274.16,37093.48
stockZ,35559.79,35557.65,35669.99,35600.10
stockV,21993.25,13453.60,47019.95,43122.80
stockL,33410.09,25970.77,34451.41,32208.69
stockU,45599.86,34128.98,52951.35,39589.04
stockS,30347.28,21682.16,39505.66,38160.58
stockR,27292.73,23744.05,35328.76,33622.42
stockB,50642.96,49403.16,50815.22,50461.75
stockR,26268.25,25904.44,48947.13,30639.06
stockJ,31155.04,29989.69,35246.45,34828.86
stockW,42276.61,41925.34,42767.57,42381.27
stockY,33051.73,27355.54,48112.54,29331.46
stockS,28395.32,22003.33,28901.55,26856.50
stockS,38557.24,29445.44,44555.38,42195.37
stockZ,36526.22,33161.65,37939.58,37716.88
stockT,35937.94,35097.44,36743.92,35862.58
stockM,33097.90,26363.59,54626.34,32619.12
stockW,43543.28,35133.77,51710.69,51160.64
stockT,39807.66,35559.15,40850.45,39713.18
stockD,26529.03,21281.96,33397.32,23090.00
stockW,35142.42,25756.45,44991.19,39073.32
stockF,27231.86,15861.78,50944.05,20736.88
stockG,46706.19,42408.57,72387.66,65815.76
stockA,33851.46,29271.33,41981.34,35780.74
stockK,38797.36,38195.37,40296.00,39773.53
stockS,46251.95,20858.07,63081.92,59380.15
stockB,45205.86,41233.36,56188.53,46879.55
stockR,41376.62,38240.47,44713.02,43132.81
stockR,26851.02,23550.34,33155.19,24164.06
stockT,42766.06,33710.00,51520.58,33865.57
stockD,34792.58,32175.05,44416.52,40525.51
stockD,29378.55,26718.13,33615.70,33513.35
stockM,50658.51,50450.35,54696.64,50525.24
stockF,38564.29,21034.71,43187.09,34249.74
stockN,23739.13,12621.52,34688.00,26724.15
stockU,23761.81,16307.16,44516.18,39979.74
stockD,35898.19,27754.31,46569.36,44294.32
stockW,52668.50,43135.76,56887.90,50430.60
stockT,41469.37,38798.82,43106.91,42931.45
stockS,45031.56,28393.20,48018.96,46545.04
stockV,22435.91,22199.04,38283.16,25241.30
stockA,35944.11,31657.92,41187.28,39016.55
stockM,29763.59,27265.84,54866.71,42829.40
stockA,39977.63,38519.74,45100.30,42451.44
stockB,28602.17,28162.16,31351.60,29538.54
stockK,46114.01,45906.29,51049.82,49750.35
stockF,56034.56,40420.04,56533.69,53848.14
stockX,35467.41,30425.25,35474.36,34809.28
stockS,28549.46,25836.05,59294.34,39313.67
stockT,20461.00,14792.29,53662.28,21084.78
stockW,34616.62,18735.78,39943.96,24141.54
stockK,29790.56,23729.78,54316.07,42429.52
stockE,45272.29,29059.31,53751.23,34243.40
stockS,34282.11,33508.66,37839.39,37137.00
stockS,36717.64,33677.53,40343.65,35857.29
stockB,39055.32,36067.83,39698.26,38116.03
stockC,54837.94,53635.60,59108.39,54499.78
stockG,49279.82,32364.04,51570.11,40141.74
stockW,40754.09,32218.95,52248.60,45310.22
stockO,36900.80,36072.66,40055.52,36902.40
stockU,52926.31,28982.33,53400.42,29535.11
stockH,42127.93,39874.36,42526.74,40632.98
stockE,38585.19,37855.91,41894.42,40499.34
stockS,35046.30,27150.89,38730.67,31237.12
stockJ,41807.23,36610.95,48974.38,48219.51
stockL,32760.24,31278.48,36757.34,33897.99
stockZ,28195.51,27749.52,28853.73,28094.19
stockK,24373.76,24278.71,25004.88,24854.16
stockT,40820.52,37883.42,51802.00,40949.30
stockT,33114.36,23190.16,33859.82,24716.58
stockW,40678.11,28958.15,47190.91,43630.53
stockM,48742.38,47498.18,54391.01,53953.61
stockS,40418.59,40169.33,41596.88,41357.90
stockT,41637.37,41511.96,56654.13,42603.02
stockN,44998.21,27969.53,47952.71,30656.48
stockF,41072.14,37898.34,42201.97,40519.05
stockT,29309.92,20685.82,34135.70,31679.15
stockA,39850.80,38716.36,42226.52,41511.66
stockX,40872.92,40738.11,58089.20,46983.92
stockC,31302.36,31037.33,31823.19,31766.05
stockM,43791.49,35414.94,46380.05,40127.25
stockJ,41213.97,33139.46,50362.69,39485.93
stockH,30136.48,27297.28,32306.83,30978.59
stockV,35864.77,28378.79,37794.28,35837.81
stockT,47367.29,41457.79,51753.21,46556.36
stockQ,44212.58,43094.92,44723.29,44243.95
stockA,54530.91,49759.02,55003.88,52164.41
stockM,61773.49,24524.67,73599.76,70932.18
stockI,42115.06,36206.20,42421.72,40387.02
stockP,40748.47,39600.75,40990.18,39839.82
stockX,47042.74,47001.59,47833.19,47821.29
stockR,17933.30,16526.10,45812.13,36696.71
stockU,37878.42,30772.35,47148.19,46677.78
stockL,46779.45,42307.57,60757.26,44140.73
stockP,41715.40,32818.16,42888.20,32918.93
stockQ,43147.37,42573.25,46902.45,44765.52
stockW,47289.71,45397.74,67265.52,64534.98
stockD,40484.91,26360.02,53325.62,43568.39
stockY,36556.65,36444.59,37912.39,36912.10
stockS,22177.19,18487.43,23935.64,20935.59
stockT,52283.25,42654.77,57352.72,46914.44
stockP,42822.35,16398.87,43620.30,30772.88
stockP,44085.53,37697.62,48061.89,38766.19
stockA,40076.32,37779.43,46067.95,44235.89
stockS,43461.13,34286.72,61099.58,42139.65
stockJ,25455.72,16477.04,43892.75,31536.49
stockJ,44074.49,31186.45,45820.76,40348.79
stockK,42626.11,41899.14,50664.97,43010.63
stockZ,51195.74,32035.31,60438.16,53236.67
stockN,41640.16,40363.43,44499.20,44468.96
stockD,41003.58,38451.09,44027.30,39825.28
