stock,open,low,high,close,timestamp
stockD,14595.67,7017.97,32823.26,21548.06,05:06:11.218
stockI,29863.51,23099.05,31664.03,31546.02,05:06:15.825
stockQ,48934.44,48614.38,48956.56,48951.13,05:06:22.804
stockZ,57993.03,44998.82,62789.26,51729.13,05:06:25.209
stockS,46258.16,36278.76,54069.73,48117.05,05:06:28.936
stockX,38322.09,37646.98,38872.33,38401.76,05:06:29.228
stockL,43188.53,40389.41,44190.87,42261.78,05:06:30.207
stockT,39100.05,28628.63,41227.98,36248.54,05:06:52.046
stockC,37317.58,26540.41,46424.33,36029.14,05:06:57.506
stockA,29148.46,26388.71,34884.17,30794.61,05:07:17.699
stockK,17231.81,15624.02,37611.36,32239.87,05:07:19.277
stockR,32761.92,28312.42,35918.28,33540.79,05:07:22.951
stockE,46575.03,40121.53,47260.41,41746.96,05:07:23.060
stockN,15163.13,9576.39,24941.63,24231.14,05:07:44.052
stockI,43739.25,37834.02,58046.12,48456.60,05:08:02.379
stockZ,33888.34,33755.70,33889.44,33865.38,05:08:03.049
stockY,53215.13,51998.16,54481.57,52245.03,05:08:07.824
stockN,35104.43,26532.06,42869.15,38692.47,05:08:16.421
stockN,46972.48,46620.85,48260.91,47289.24,05:08:34.052
stockS,38334.43,37884.94,38986.70,38223.26,05:08:42.438
stockI,13138.73,12705.40,26255.97,19014.05,05:08:50.918
stockV,38707.99,38647.93,38972.14,38893.21,05:09:10.228
stockL,34339.16,29508.00,38910.77,35567.05,05:09:12.303
stockZ,40281.82,39381.86,40668.66,39755.76,05:09:23.347
stockB,45918.38,41061.37,50320.52,45537.62,05:09:25.875
stockW,29326.24,24482.33,55058.53,46488.32,05:09:52.086
stockO,56799.33,35106.19,57624.21,56761.22,05:10:31.775
stockY,49058.65,48558.78,53758.47,51776.91,05:10:47.012
stockE,44592.68,42753.59,45995.51,44950.66,05:10:51.767
stockQ,24789.38,21571.99,40013.12,23041.72,05:10:58.002
stockC,30801.48,29005.91,34379.25,30516.45,05:11:05.930
stockA,33563.63,30240.91,35040.32,34930.65,05:11:46.764
stockC,43921.52,31312.18,47180.50,43888.06,05:11:56.280
stockA,44572.09,43328.20,45889.70,45126.46,05:11:59.614
stockH,62575.12,56039.49,67279.71,65537.31,05:12:17.288
stockA,50677.36,37942.68,53802.54,41907.95,05:12:19.629
stockO,23280.21,21501.80,25087.78,23973.59,05:12:40.431
stockR,27355.00,22342.60,40143.72,28298.78,05:12:42.731
stockY,40561.72,39256.07,43282.59,42347.65,05:12:54.187
stockA,37353.18,33229.54,40754.74,38667.61,05:13:05.970
stockG,43333.33,41938.79,52524.59,52203.12,05:13:11.808
stockQ,47694.96,43589.01,48810.84,47333.53,05:13:15.595
stockE,43712.01,31782.17,46716.48,44774.93,05:13:16.221
stockS,41822.34,29437.71,43146.74,34379.12,05:13:20.238
stockT,47644.39,32975.71,60129.18,53172.71,05:13:20.543
stockD,47736.60,31917.84,63121.44,33872.73,05:13:23.110
stockY,37692.27,37204.29,37986.49,37777.10,05:13:25.389
stockO,44337.75,39572.40,49481.68,49337.13,05:13:26.039
stockD,41175.99,31598.37,49759.40,48614.08,05:13:49.439
stockJ,27709.17,23819.84,48031.23,43036.18,05:13:50.629
stockN,31881.77,26361.40,44767.23,37467.84,05:14:05.851
stockQ,52919.67,46952.04,54097.36,49801.46,05:14:08.121
stockX,42752.87,41500.33,47479.77,42509.75,05:14:22.443
stockE,37341.64,35602.12,43751.48,40246.59,05:14:22.732
stockB,36012.62,35748.55,51575.47,50860.85,05:14:32.175
stockR,41010.28,31325.29,49536.44,48912.08,05:14:35.468
stockO,30320.43,24191.57,51515.73,36110.95,05:14:46.557
stockE,42895.98,32465.71,43836.14,35932.71,05:14:48.638
stockJ,26723.16,21117.45,42612.73,23619.30,05:14:51.828
stockL,41902.18,23747.55,47927.68,47594.61,05:15:04.379
stockL,47580.59,47541.24,47723.08,47541.72,05:15:08.606
stockH,31701.60,29511.82,35601.17,34745.01,05:15:10.186
stockE,24928.84,20999.44,27561.21,27271.08,05:15:21.863
stockU,30511.08,23586.22,31373.14,27789.93,05:15:22.720
stockG,26501.65,26067.59,27995.06,26311.49,05:15:27.268
stockB,37323.37,36417.78,40702.05,40563.88,05:15:33.371
stockW,42662.58,21227.37,43416.51,21672.47,05:15:40.136
stockU,56599.69,44667.96,65681.59,56297.11,05:15:46.605
stockT,40491.61,28349.83,42943.98,30972.73,05:15:48.154
stockZ,39973.45,39711.35,40523.13,40338.90,05:15:51.168
stockW,27566.76,24521.93,38437.41,25147.37,05:16:00.248
stockQ,43747.33,29667.90,44458.84,40836.61,05:16:02.971
stockQ,35826.18,32083.35,42341.75,39766.64,05:16:07.246
stockG,38909.70,38738.53,38921.87,38887.99,05:16:08.993
stockL,42649.84,39678.14,48410.44,40243.87,05:16:12.712
stockJ,44009.71,36067.26,44654.15,41354.31,05:16:29.300
stockZ,48095.36,40101.24,48666.42,46404.96,05:16:36.438
stockS,19051.02,16035.15,37949.02,32969.49,05:16:39.860
stockL,52925.26,30915.07,55449.43,36781.36,05:16:44.364
stockV,35669.84,33295.85,61246.38,47762.43,05:16:44.992
stockV,34156.99,29894.28,41497.03,35257.69,05:16:55.062
stockI,34829.03,33042.48,36144.61,35152.32,05:17:13.074
stockE,34455.18,32626.93,34536.97,34224.54,05:17:18.365
stockI,35384.96,35327.87,36614.81,36362.07,05:17:23.301
stockD,29774.20,29466.44,43063.75,40222.47,05:17:34.330
stockE,45430.54,39231.54,55564.00,42828.08,05:17:44.968
stockS,37811.02,32654.32,47133.07,36393.99,05:17:52.038
stockN,29669.15,24601.61,53474.05,31447.46,05:17:58.447
stockK,43508.71,32618.21,44876.25,42514.01,05:18:19.152
stockQ,51420.69,41337.26,51765.61,43441.93,05:18:19.648
stockJ,38314.33,37515.05,38719.89,38069.69,05:18:34.614
stockZ,33276.58,31311.50,37202.74,33352.45,05:19:20.286
stockH,26974.86,26379.95,29242.13,27213.31,05:19:21.978
stockB,32218.48,25728.47,37105.52,26833.98,05:19:27.462
stockD,46143.82,43243.15,48322.26,48071.46,05:19:32.499
stockV,36106.39,34859.84,45488.54,39431.15,05:19:36.784
stockW,24582.77,23110.77,25497.45,23907.39,05:19:45.083
stockU,66802.51,53953.90,67689.92,61865.83,05:19:51.252
stockK,35378.04,19207.35,36395.69,30467.71,05:19:56.881
stockZ,38294.99,38261.56,39377.70,38991.44,05:20:04.371
stockQ,45520.57,43347.44,63364.74,53324.94,05:20:05.512
stockL,44429.77,38176.55,53283.80,53282.01,05:20:29.549
stockQ,57364.35,55587.99,57791.01,55637.94,05:20:34.097
stockN,35782.96,32986.90,37089.64,34682.13,05:20:34.573
stockO,58117.58,46546.95,62822.45,61157.32,05:20:38.254
stockK,37628.91,35499.03,40770.43,35783.96,05:20:43.240
stockG,33774.10,33632.21,33886.38,33853.33,05:20:53.014
stockH,29846.34,27188.54,33771.11,33553.07,05:21:03.310
stockN,42905.03,42851.65,45311.08,44815.71,05:21:07.067
stockT,36144.79,32605.93,38435.12,35779.32,05:21:10.526
stockL,20544.32,19596.94,27908.60,23135.91,05:21:11.021
stockP,27773.77,25856.33,32352.66,27478.45,05:21:24.886
stockE,51523.12,46553.14,54205.42,46992.12,05:21:27.477
stockC,45661.07,32198.62,47840.36,36445.78,05:21:28.773
stockY,43547.29,42783.86,43648.09,42968.17,05:21:35.536
stockX,39132.34,35189.93,43212.27,35922.18,05:21:35.669
stockU,42568.96,42537.48,45033.65,44674.60,05:21:36.510
stockY,27019.10,19496.37,27044.62,22404.83,05:21:39.640
stockR,50853.14,50618.29,57460.34,57358.88,05:21:47.637
stockX,34568.35,26115.22,49920.42,30161.32,05:21:59.066
stockO,41874.18,30518.98,45526.12,34329.51,05:22:07.085
stockA,40353.37,23209.94,46899.80,28873.69,05:22:07.241
stockU,36320.15,34571.28,37876.77,37876.19,05:22:07.967
stockM,32680.82,31777.89,34508.83,34255.08,05:22:10.928
stockS,39637.95,35138.85,42954.51,40954.85,05:22:16.108
stockW,43548.65,35529.20,49165.59,45960.43,05:22:27.657
stockM,46937.23,33860.06,54539.00,45332.07,05:22:28.026
stockM,36975.35,35345.89,46380.01,40498.60,05:22:35.664
stockU,32761.42,28469.86,36392.33,35603.54,05:22:39.064
stockZ,32722.00,30535.45,33230.15,32337.01,05:22:47.325
stockK,37949.30,37347.49,38009.32,37831.41,05:23:01.981
stockR,12816.93,11970.71,39292.90,37933.62,05:23:05.341
stockC,32445.72,31725.00,35487.87,32761.09,05:23:13.691
stockO,48151.69,37414.70,49660.24,45312.93,05:23:22.202
stockX,40890.38,36049.50,41402.49,38861.86,05:23:34.417
stockL,41698.99,37429.73,46489.90,45896.61,05:23:55.529
stockX,27589.64,25034.16,34098.88,32418.51,05:23:58.934
stockX,34678.13,33659.55,35590.18,34533.62,05:24:00.679
stockX,28336.49,25072.82,40200.79,34726.62,05:24:09.031
stockW,11706.34,8915.73,26013.11,19322.95,05:24:10.240
stockY,64605.26,41725.63,67101.03,53518.64,05:24:13.396
stockR,35852.63,29238.19,38726.64,36203.14,05:24:18.451
stockQ,30460.46,21647.41,45694.33,26163.38,05:24:24.275
stockG,37900.80,35648.60,40623.12,40365.95,05:24:36.114
stockQ,42515.43,41762.59,44079.05,42823.94,05:25:00.903
stockB,33531.78,28955.77,39724.23,30080.58,05:25:05.322
stockT,35835.73,32932.45,47041.94,45595.54,05:25:26.887
stockS,34889.09,21356.79,40578.48,21881.28,05:25:26.946
stockU,29743.23,27957.58,31740.69,29188.41,05:25:27.576
stockW,35332.13,26236.35,38737.25,35276.21,05:25:43.494
stockD,35484.75,27817.64,47661.61,37602.90,05:25:44.823
stockY,30325.80,28439.10,31127.89,28836.72,05:25:47.531
stockL,28423.68,27861.90,31114.82,28094.23,05:25:50.324
stockS,16629.14,14188.78,36821.32,23387.54,05:25:50.986
stockP,31287.88,20759.97,33011.88,27381.20,05:25:57.606
stockB,29281.22,29009.06,29356.48,29262.18,05:26:03.791
stockN,46954.64,41310.87,48138.55,45967.25,05:26:12.467
stockU,38764.75,31788.00,43534.63,40257.62,05:26:16.742
stockR,42029.24,41046.28,43772.44,42865.52,05:26:17.697
stockV,26900.42,25107.01,32561.14,32112.77,05:26:22.128
stockG,34897.77,34486.55,35563.16,34908.44,05:26:37.661
stockN,47844.85,46491.17,48121.12,48061.29,05:26:41.202
stockL,23871.99,23488.57,28584.36,25504.41,05:26:42.588
stockM,30279.91,29266.35,31178.37,29961.41,05:26:47.061
stockJ,49043.25,48500.96,49164.01,48674.30,05:26:47.124
stockP,51968.16,22166.38,55197.70,39998.39,05:26:50.295
stockR,52671.19,52396.14,53151.07,53022.81,05:26:52.391
stockD,39684.25,39652.85,42143.17,41160.45,05:26:53.635
stockM,32496.38,27781.78,37359.62,29955.27,05:27:02.125
stockH,40606.72,18123.57,46735.64,43288.23,05:27:06.649
stockY,33777.92,32095.57,37556.92,35416.05,05:27:12.411
stockZ,32355.68,30922.04,42042.38,39380.23,05:27:16.593
stockX,40645.60,31385.39,43867.29,31786.19,05:27:18.951
stockW,53971.40,52857.44,56085.69,54036.52,05:27:23.799
stockW,38106.07,8813.60,49364.09,38413.92,05:27:24.039
stockH,45316.03,42549.45,52875.05,46595.49,05:27:55.536
stockO,49823.78,29966.59,52885.97,44461.07,05:28:02.995
stockX,36905.37,20371.03,42796.22,29955.94,05:28:12.275
stockB,50796.51,49476.64,56651.11,54001.13,05:28:12.540
stockI,31603.00,28797.55,38387.67,31460.67,05:28:16.077
stockX,52768.35,44731.71,53841.27,48170.09,05:28:16.620
stockV,27092.67,18240.61,32663.15,27197.38,05:28:23.735
stockL,45456.36,24124.49,56804.79,38449.01,05:28:50.834
stockC,32610.79,31637.52,33016.55,32500.54,05:28:55.628
stockG,49775.62,46051.68,53918.23,48150.36,05:29:02.757
stockW,18856.40,16712.03,36917.28,34355.17,05:29:24.153
stockD,32286.29,22599.27,34103.04,30051.95,05:29:24.337
stockM,47613.19,38575.41,52721.62,41365.04,05:29:32.040
stockX,32532.07,30154.63,35836.34,32543.85,05:29:36.425
stockP,41731.68,40522.12,42584.62,42288.93,05:29:40.804
stockO,44676.39,42659.32,58511.22,43952.66,05:29:41.066
stockC,52716.25,50545.96,54745.35,53174.52,05:29:41.596
stockI,29807.92,28709.36,37828.28,28812.32,05:29:53.782
stockH,49191.11,37693.52,50467.39,44643.35,05:29:58.993
stockJ,42011.26,41123.77,45862.72,45416.43,05:30:09.660
stockO,49946.56,8292.66,62893.31,25599.28,05:30:13.414
stockG,39495.32,36593.46,40929.80,38392.96,05:30:17.843
stockX,22083.94,21571.70,29635.10,23617.42,05:30:28.371
stockK,26280.12,23944.31,37920.03,25587.12,05:30:32.086
stockG,48668.31,30592.12,49457.37,32906.48,05:30:57.531
stockF,36296.02,35185.13,38403.09,37796.84,05:31:00.546
stockY,33573.77,29982.92,39239.03,34001.51,05:31:15.467
stockL,51965.43,47467.12,52108.41,47893.86,05:31:15.798
stockX,32208.44,29091.84,40291.04,36259.16,05:31:20.686
stockV,41373.20,35548.16,49409.42,45074.20,05:31:26.151
stockS,46059.95,28395.64,50009.42,48150.79,05:31:39.763
stockC,43009.48,36955.23,44200.08,40103.39,05:31:40.018
stockJ,45654.39,39850.88,51161.99,43636.83,05:31:42.996
stockM,29119.27,28961.80,29289.14,29107.41,05:31:58.556
stockJ,32209.25,25313.58,33040.18,31530.10,05:31:59.012
stockC,41017.38,33180.74,42287.24,38442.50,05:32:07.742
stockY,40702.80,39147.57,43684.34,39592.76,05:32:11.935
stockC,42208.60,32316.95,49607.88,41477.68,05:32:14.909
stockM,32878.83,22357.56,37394.33,27545.52,05:32:21.267
stockX,39828.35,22516.86,40524.13,25575.56,05:32:28.020
stockK,43524.40,37451.56,48759.60,38956.12,05:32:28.793
stockO,33435.23,32140.38,37519.11,33549.45,05:32:29.195
stockM,28048.09,11338.03,42458.20,26093.73,05:32:36.629
stockT,44758.85,41999.70,45438.95,42902.25,05:33:03.178
stockK,41482.29,39206.55,46452.33,40031.27,05:33:24.182
stockO,35888.18,35749.15,35999.13,35848.04,05:33:31.854
stockO,34881.45,32718.48,39810.14,38692.27,05:34:17.134
stockO,32086.70,27862.91,39919.37,36220.95,05:34:18.134
stockV,35824.05,20758.07,59272.66,44570.90,05:34:18.434
stockH,39183.19,19808.76,56633.10,25704.24,05:34:28.649
stockZ,50091.52,46317.47,50625.76,48672.41,05:34:34.096
stockM,36068.94,34960.21,43306.43,41467.92,05:34:48.073
stockL,59566.71,28827.57,61064.49,38016.78,05:35:02.682
stockY,45216.64,36315.62,49557.32,40630.33,05:35:22.697
stockE,26413.06,26364.95,26449.92,26436.94,05:35:26.652
stockQ,32006.70,25279.23,40210.30,38834.67,05:35:30.307
stockU,52706.77,52518.13,55656.96,53923.10,05:36:06.344
stockX,33722.04,32579.94,34085.30,33339.36,05:36:14.121
stockR,36981.89,34514.49,39427.21,36378.41,05:36:17.237
stockG,62179.37,36872.53,62709.58,42031.31,05:36:27.294
stockB,44659.27,29993.35,51959.33,31651.56,05:36:36.405
stockC,56028.72,35353.30,68783.03,62143.64,05:36:46.426
stockS,40238.57,34502.52,43621.75,38315.42,05:36:51.347
stockA,48868.54,47790.16,51261.11,49322.18,05:37:14.388
stockK,26990.60,22989.72,31533.77,25404.77,05:37:42.406
stockG,35794.26,27913.45,40811.40,38631.16,05:37:47.207
stockS,49753.14,23272.39,51725.83,24770.45,05:37:59.713
stockN,41120.48,32311.98,42245.99,38553.66,05:38:01.100
stockL,49349.23,48066.36,51708.19,49859.83,05:38:10.103
stockN,41984.79,41832.94,42315.90,41870.33,05:38:19.862
stockY,46981.24,46859.35,48181.85,47314.42,05:38:21.447
stockY,33216.87,24858.62,34097.14,29262.83,05:38:21.536
stockO,46493.44,42500.09,48564.80,44800.76,05:38:45.497
stockV,36123.39,30171.21,39760.99,39359.41,05:38:59.260
stockV,46684.12,21237.84,53249.56,40953.90,05:39:05.678
stockK,38158.87,36165.82,38188.16,36600.44,05:39:22.319
stockR,33486.11,26777.34,48074.02,30919.60,05:39:33.996
stockC,42294.71,37872.29,46019.46,42106.57,05:39:40.463
stockU,39416.36,39215.19,53951.07,44289.66,05:39:42.903
stockH,39698.48,31449.48,49375.17,46509.82,05:39:45.396
stockF,40449.95,33607.34,40818.02,34388.19,05:39:51.782
stockB,40041.54,38631.55,41941.63,40819.07,05:41:09.222
stockT,38159.29,27165.32,43062.68,31324.36,05:41:09.875
stockV,29439.66,27127.98,31300.39,27820.73,05:41:10.306
stockM,49497.47,48101.99,53447.54,49716.23,05:41:27.741
stockO,31856.06,25379.28,34517.80,29888.74,05:41:37.249
stockY,40866.88,33527.02,43627.66,38010.12,05:41:42.239
stockF,36218.61,27206.52,40117.49,30949.11,05:41:52.423
stockA,36193.80,29021.00,50248.34,45840.70,05:41:59.069
stockR,39276.15,34742.55,43366.21,40844.39,05:42:12.640
stockO,35898.12,33073.55,49892.66,44265.00,05:42:43.919
stockJ,35951.16,29585.81,39069.41,38689.41,05:42:52.418
stockT,41690.18,21820.60,45501.58,42266.15,05:42:52.829
stockA,50121.90,36765.24,50851.56,44487.58,05:42:55.246
stockQ,46217.10,45270.60,55998.59,46159.37,05:42:59.649
stockI,47232.41,45417.78,51149.01,47706.84,05:43:01.713
stockX,45124.28,43935.91,45610.07,44509.62,05:43:02.785
stockS,42093.21,41781.02,43768.31,42128.67,05:43:03.286
stockB,28093.53,27606.81,31344.23,28637.64,05:43:25.622
stockQ,50247.76,49535.80,58984.87,57920.01,05:43:29.683
stockW,27199.88,26884.38,36185.34,27275.94,05:43:35.392
stockV,43980.06,43926.09,43992.50,43963.65,05:43:36.586
stockM,61880.90,41984.85,67020.16,45662.76,05:43:39.553
stockP,36881.30,28480.92,39726.51,38107.57,05:43:53.876
stockZ,20966.15,16383.90,45944.00,33048.35,05:43:55.377
stockS,30696.52,26448.71,50836.73,31390.79,05:44:00.294
stockY,28445.96,18317.60,30498.89,22383.06,05:44:23.917
stockG,25854.63,23072.56,31357.94,30133.44,05:44:42.588
stockM,56299.47,52373.71,61027.64,53290.51,05:44:58.076
stockF,48226.35,48177.27,48564.68,48324.75,05:45:02.168
stockL,55566.97,38889.33,59289.02,51675.34,05:45:04.728
stockG,23822.65,21732.78,24056.09,23585.20,05:45:06.983
stockC,43668.26,43100.54,46350.34,46286.30,05:45:13.632
stockF,28133.90,10869.74,31789.42,26450.78,05:45:24.319
stockK,53509.91,47313.17,56067.58,51251.63,05:45:30.082
stockH,26651.72,26016.19,39270.94,37883.18,05:45:41.687
stockE,56505.54,43885.43,59986.47,50514.55,05:45:45.769
stockY,36316.17,31120.06,49752.85,45781.74,05:45:47.700
stockZ,36186.20,34398.72,47308.41,36034.89,05:45:53.921
stockJ,40648.35,28506.56,48032.31,30109.84,05:45:55.789
stockT,33579.80,33005.07,36945.61,33161.52,05:45:56.193
stockQ,31540.68,24048.89,53312.80,34545.66,05:46:02.477
stockU,48266.02,27575.58,49770.87,30503.59,05:46:03.540
stockD,45209.60,29644.26,58579.29,49611.56,05:46:17.459
stockJ,24678.42,23229.03,25636.15,25075.58,05:46:18.606
stockR,34654.70,34554.64,44992.05,40948.37,05:46:30.591
stockU,52484.69,37675.01,54618.18,43932.65,05:46:30.978
stockM,25046.28,19668.25,47480.93,28570.52,05:46:38.130
stockR,33061.20,30146.85,48973.87,37138.54,05:46:45.481
stockA,33971.38,24584.15,36845.89,28991.98,05:46:54.818
stockV,48554.30,48105.12,57288.27,54549.74,05:46:56.266
stockU,16794.63,9856.80,23771.64,22724.15,05:47:02.619
stockX,43208.10,39937.27,44153.72,41327.79,05:47:14.584
stockS,42030.35,41590.41,46795.88,45982.38,05:47:29.772
stockI,32492.06,32071.57,33031.78,32526.70,05:48:12.324
stockR,38454.11,36958.29,38829.31,38545.23,05:48:13.611
stockC,33293.89,31411.83,37435.63,31639.29,05:48:24.315
stockV,45078.10,35398.44,45741.04,41675.96,05:48:36.454
stockL,41544.89,36333.72,45097.57,41756.23,05:48:41.241
stockP,34720.99,32131.10,39513.97,38664.39,05:48:41.256
stockO,33882.49,32117.37,39237.82,33558.74,05:48:42.100
stockL,25486.61,22867.20,54212.24,36036.57,05:48:49.094
stockA,37572.84,25994.33,44124.86,36619.54,05:49:07.113
stockK,48323.23,45882.06,54198.63,51254.48,05:49:11.512
stockU,47387.69,39604.08,47660.37,44271.90,05:49:18.243
stockG,28312.99,26718.39,28688.81,28380.93,05:49:30.939
stockY,36627.49,36108.74,40112.29,38161.75,05:49:31.504
stockO,30712.77,21407.08,37899.81,23205.35,05:49:38.156
stockC,30879.52,30866.14,31113.30,30882.87,05:49:38.192
stockI,40392.11,37409.53,46473.75,42104.72,05:49:59.006
stockK,40279.92,39987.65,42883.80,42582.73,05:50:05.530
stockS,45608.66,44985.75,47131.98,45884.42,05:50:11.938
stockN,39370.52,14505.44,39420.85,27139.89,05:50:15.901
stockM,35572.93,31233.32,35656.08,31618.58,05:50:16.928
stockW,47106.27,31226.31,47370.38,33119.16,05:50:51.603
stockA,26888.50,26717.92,35852.69,33205.09,05:50:55.222
stockX,46815.22,8308.13,48725.12,23336.87,05:50:58.661
stockP,14027.09,13151.52,35945.18,29304.66,05:51:14.318
stockY,21499.38,20453.27,22942.93,22310.07,05:51:16.794
stockE,47232.81,45274.82,47825.05,46895.63,05:51:22.516
stockD,52467.54,52030.53,53305.39,52540.88,05:51:35.918
stockG,49126.97,47945.73,52279.48,48326.52,05:51:57.681
stockX,36478.79,29844.05,42053.26,31427.57,05:51:58.319
stockD,31841.11,28533.16,55479.83,40039.98,05:52:32.163
stockK,23129.60,21523.54,33448.36,23709.11,05:52:33.235
stockZ,48225.81,25068.56,65276.67,38882.61,05:52:40.661
stockQ,32443.00,30764.16,32759.43,31363.56,05:52:48.702
stockY,30449.21,28817.69,30455.30,29237.49,05:53:10.131
stockY,39602.27,37366.11,43944.15,39405.68,05:53:11.379
stockR,17768.14,7754.00,26601.75,12788.87,05:53:15.495
stockN,21712.06,18803.69,27593.57,19062.64,05:53:23.071
stockY,42777.42,36377.74,46196.81,40318.12,05:53:23.887
stockA,27601.60,21747.52,39793.40,29263.76,05:53:33.767
stockJ,36975.23,35192.98,52951.36,51848.71,05:53:36.841
stockY,36804.42,30078.67,49086.23,34104.21,05:53:45.403
stockM,47548.60,22676.70,56150.93,24670.29,05:53:54.613
stockX,42268.82,29450.50,48904.08,34702.92,05:53:59.791
stockT,46004.03,45412.61,46865.16,46340.91,05:54:09.090
stockN,43994.52,43682.68,52289.77,45662.52,05:54:24.163
stockA,37389.57,36007.87,39731.39,36318.94,05:54:38.484
stockB,51190.96,34920.11,51334.86,46676.47,05:54:43.425
stockU,30742.27,28942.65,43215.95,33117.29,05:54:48.596
stockK,55401.00,22996.20,56877.94,33542.66,05:55:07.717
stockU,41670.89,18725.74,60504.49,32581.47,05:55:08.792
stockO,21289.60,19984.48,24977.86,24264.32,05:55:10.634
stockH,33194.42,14204.97,42733.08,27176.54,05:55:20.921
stockA,52758.68,47335.14,61431.28,53883.11,05:55:26.639
stockK,37915.27,36102.74,45069.04,44670.95,05:55:27.820
stockO,45308.77,43220.39,47053.09,45580.86,05:55:45.025
stockY,42152.69,33691.02,42585.49,36951.78,05:55:48.651
stockV,30175.70,29229.82,53852.76,33893.66,05:56:29.619
stockD,42349.42,22314.19,42968.39,37658.41,05:56:34.898
stockW,40252.33,32565.76,47064.86,44514.18,05:56:39.963
stockS,37024.55,22026.16,40459.30,39395.02,05:56:44.987
stockN,44052.54,27553.82,44076.42,31695.25,05:56:49.725
stockR,54015.89,41897.20,57128.93,43465.16,05:56:50.623
stockS,37010.35,17994.47,38103.10,18576.68,05:56:56.784
stockQ,27833.65,25821.60,34114.13,31258.52,05:57:02.267
stockJ,33850.04,28117.09,46882.95,36709.77,05:57:04.866
stockC,60212.72,59542.64,60620.61,59922.64,05:57:08.745
stockH,38104.21,36216.90,38345.17,37695.88,05:57:10.740
stockK,35194.52,29198.86,42951.28,30013.34,05:57:13.224
stockA,49509.04,47462.13,55794.07,49424.32,05:57:29.721
stockH,43305.75,39357.96,59998.68,44334.72,05:57:32.653
stockC,40051.60,34009.36,44397.38,35256.20,05:57:40.448
stockI,36368.74,32024.61,36906.52,34848.19,05:57:48.292
stockI,49838.78,36032.87,57134.91,47634.30,05:57:53.839
stockJ,46913.24,43049.98,48789.35,48399.84,05:57:56.447
stockY,51541.69,37518.09,53051.88,39476.05,05:58:05.247
stockF,46969.92,40401.53,48312.74,42159.99,05:58:18.453
stockO,43977.32,41061.40,45384.84,41808.04,05:58:19.395
stockI,30261.15,21934.95,41813.39,38259.89,05:58:44.477
stockR,38398.21,32915.79,49226.25,47738.59,05:58:44.695
stockM,36479.72,35874.79,36923.00,36406.76,05:58:55.828
stockU,41491.83,41170.76,44312.58,41543.80,05:59:03.833
stockD,43110.96,37486.11,55402.92,49609.56,05:59:12.406
stockN,32845.86,27671.75,36678.72,35377.94,05:59:18.198
stockX,30979.93,8495.45,35092.20,20669.65,05:59:27.955
stockW,43071.54,42990.45,46819.40,46255.53,05:59:44.975
stockU,30715.94,29156.94,31784.60,30650.73,06:00:07.592
stockZ,39017.57,36616.71,40571.74,36657.11,06:00:13.998
stockA,33623.21,17963.14,48475.83,26022.67,06:00:16.360
stockK,47675.33,46387.35,48840.52,46709.63,06:00:18.851
stockR,46283.71,38701.11,57677.89,51102.26,06:00:29.195
stockD,39741.52,32729.24,40836.14,33851.80,06:00:36.444
stockN,39158.68,37349.77,39337.46,37883.19,06:01:03.233
stockJ,41829.95,29052.93,43009.58,41294.65,06:01:03.501
stockD,50787.67,27274.74,51930.97,51898.01,06:01:03.946
stockD,25294.00,21760.14,28260.09,24760.33,06:01:10.430
stockT,35780.30,32249.89,40733.89,37777.74,06:01:11.657
stockH,48876.21,32972.51,50841.60,39535.04,06:01:16.987
stockJ,26737.94,13866.87,30165.18,24638.99,06:01:27.773
stockC,36428.96,36046.30,37693.16,37512.11,06:01:36.823
stockA,27898.41,22724.85,40931.99,29690.03,06:02:03.727
stockG,35414.26,21710.14,36853.21,29497.13,06:02:17.757
stockO,34057.96,33593.38,34215.67,33892.60,06:02:19.776
stockX,28786.12,28729.57,28975.93,28893.05,06:02:20.797
stockF,34393.57,34375.54,34484.92,34412.57,06:02:28.546
stockA,33419.14,20192.94,41045.17,39501.17,06:02:41.759
stockY,60660.12,37651.54,63272.80,54279.63,06:02:44.264
stockH,44162.81,27512.37,45168.23,28453.82,06:02:46.286
stockM,42977.02,42668.91,49074.66,44523.34,06:02:54.240
stockC,46506.05,39440.10,48373.67,40012.17,06:03:08.075
stockF,32702.54,32662.76,32769.42,32739.86,06:03:25.285
stockN,32472.68,30170.61,43967.14,31798.91,06:03:47.068
stockG,40618.02,37744.46,50889.28,49087.35,06:03:57.353
stockB,50363.90,35665.24,51860.84,51301.98,06:03:57.553
stockS,23571.10,20659.20,29020.79,28309.63,06:04:00.864
stockA,56716.01,50374.40,59748.28,50993.94,06:04:15.629
stockU,34491.15,31777.48,53299.22,43339.52,06:04:17.008
stockI,28727.70,20645.86,30501.21,30422.28,06:04:20.536
stockN,32106.37,31967.50,32178.38,32155.81,06:04:35.728
stockF,29641.98,28961.24,31805.54,30030.03,06:05:08.912
stockF,49041.78,47253.63,50513.96,48440.50,06:05:36.866
stockU,38483.10,18401.14,51400.67,39215.85,06:05:42.144
stockL,38836.75,34734.55,43222.34,38822.91,06:05:49.046
stockZ,41244.75,40120.81,43021.83,40982.12,06:05:57.126
stockN,31245.93,31175.70,31437.74,31290.23,06:06:01.626
stockL,39298.78,32568.62,48587.33,37338.64,06:06:02.436
stockO,32083.52,23602.52,57082.81,44743.88,06:06:08.535
